subfolder,rank,word,count,total_files,total_words,estimated_cost
demo-files-split,1,לא,205,8,8067,0.8738
demo-files-split,2,לי,68,8,8067,0.8738
demo-files-split,3,עוד,67,8,8067,0.8738
demo-files-split,4,יש,62,8,8067,0.8738
demo-files-split,5,מה,59,8,8067,0.8738
demo-files-split,6,לך,57,8,8067,0.8738
demo-files-split,7,שלי,49,8,8067,0.8738
demo-files-split,8,חיי,47,8,8067,0.8738
demo-files-split,9,באמת,43,8,8067,0.8738
demo-files-split,10,מי,43,8,8067,0.8738
demo-files-split,11,אז,43,8,8067,0.8738
demo-files-split,12,רוצה,41,8,8067,0.8738
demo-files-split,13,כבר,38,8,8067,0.8738
demo-files-split,14,אין,38,8,8067,0.8738
demo-files-split,15,חבר,35,8,8067,0.8738
demo-files-split,16,עכשיו,35,8,8067,0.8738
demo-files-split,17,הדרך,33,8,8067,0.8738
demo-files-split,18,טוב,30,8,8067,0.8738
demo-files-split,19,פה,30,8,8067,0.8738
demo-files-split,20,לה,30,8,8067,0.8738
demo-files-split,21,איך,28,8,8067,0.8738
demo-files-split,22,אולי,27,8,8067,0.8738
demo-files-split,23,אותך,26,8,8067,0.8738
demo-files-split,24,לנו,26,8,8067,0.8738
demo-files-split,25,הביתה,25,8,8067,0.8738
demo-files-split,26,כן,25,8,8067,0.8738
demo-files-split,27,שיר,25,8,8067,0.8738
demo-files-split,28,הללויה,25,8,8067,0.8738
demo-files-split,29,היה,25,8,8067,0.8738
demo-files-split,30,חוזר,25,8,8067,0.8738
demo-files-split,31,אמת,25,8,8067,0.8738
demo-files-split,32,השיר,24,8,8067,0.8738
demo-files-split,33,אליי,24,8,8067,0.8738
demo-files-split,34,תמיד,23,8,8067,0.8738
demo-files-split,35,הזה,23,8,8067,0.8738
demo-files-split,36,היום,22,8,8067,0.8738
demo-files-split,37,שוב,21,8,8067,0.8738
demo-files-split,38,קצת,21,8,8067,0.8738
demo-files-split,39,בדרך,21,8,8067,0.8738
demo-files-split,40,ואז,21,8,8067,0.8738
demo-files-split,41,חובה,21,8,8067,0.8738
demo-files-split,42,איזה,20,8,8067,0.8738
demo-files-split,43,ולנטינו,20,8,8067,0.8738
demo-files-split,44,יום,19,8,8067,0.8738
demo-files-split,45,הכי,19,8,8067,0.8738
demo-files-split,46,הזמן,19,8,8067,0.8738
demo-files-split,47,שמש,18,8,8067,0.8738
demo-files-split,48,הכל,17,8,8067,0.8738
demo-files-split,49,אגיד,17,8,8067,0.8738
demo-files-split,50,משהו,17,8,8067,0.8738
demo-files-split,51,בין,17,8,8067,0.8738
demo-files-split,52,אצלנו,17,8,8067,0.8738
demo-files-split,53,אהוב,16,8,8067,0.8738
demo-files-split,54,כולם,16,8,8067,0.8738
demo-files-split,55,שם,16,8,8067,0.8738
demo-files-split,56,אור,16,8,8067,0.8738
demo-files-split,57,להצליח,15,8,8067,0.8738
demo-files-split,58,בכך,15,8,8067,0.8738
demo-files-split,59,לכם,15,8,8067,0.8738
demo-files-split,60,טובות,15,8,8067,0.8738
demo-files-split,61,יודעת,15,8,8067,0.8738
demo-files-split,62,נכון,15,8,8067,0.8738
demo-files-split,63,יודע,14,8,8067,0.8738
demo-files-split,64,הלב,14,8,8067,0.8738
demo-files-split,65,שלו,14,8,8067,0.8738
demo-files-split,66,בדיוק,14,8,8067,0.8738
demo-files-split,67,שלך,13,8,8067,0.8738
demo-files-split,68,גלגלץ,13,8,8067,0.8738
demo-files-split,69,הייתה,13,8,8067,0.8738
demo-files-split,70,כתבה,13,8,8067,0.8738
demo-files-split,71,בא,13,8,8067,0.8738
demo-files-split,72,ודאי,13,8,8067,0.8738
demo-files-split,73,ולא,13,8,8067,0.8738
demo-files-split,74,חי,13,8,8067,0.8738
demo-files-split,75,אותי,12,8,8067,0.8738
demo-files-split,76,יהיה,12,8,8067,0.8738
demo-files-split,77,עליי,12,8,8067,0.8738
demo-files-split,78,ואני,12,8,8067,0.8738
demo-files-split,79,אותה,12,8,8067,0.8738
demo-files-split,80,ראיתי,12,8,8067,0.8738
demo-files-split,81,אומר,12,8,8067,0.8738
demo-files-split,82,תן,12,8,8067,0.8738
demo-files-split,83,שמרית,12,8,8067,0.8738
demo-files-split,84,בוא,12,8,8067,0.8738
demo-files-split,85,והוא,12,8,8067,0.8738
demo-files-split,86,נה,12,8,8067,0.8738
demo-files-split,87,חוזרים,11,8,8067,0.8738
demo-files-split,88,ואנחנו,11,8,8067,0.8738
demo-files-split,89,כמה,11,8,8067,0.8738
demo-files-split,90,שיש,11,8,8067,0.8738
demo-files-split,91,יכול,11,8,8067,0.8738
demo-files-split,92,ממש,11,8,8067,0.8738
demo-files-split,93,רגע,11,8,8067,0.8738
demo-files-split,94,דרך,11,8,8067,0.8738
demo-files-split,95,להגיע,11,8,8067,0.8738
demo-files-split,96,דנה,11,8,8067,0.8738
demo-files-split,97,הלאה,11,8,8067,0.8738
demo-files-split,98,שאני,10,8,8067,0.8738
demo-files-split,99,בן,10,8,8067,0.8738
demo-files-split,100,אוהב,10,8,8067,0.8738
demo-files-split,101,שלנו,10,8,8067,0.8738
demo-files-split,102,אהבה,10,8,8067,0.8738
demo-files-split,103,אצלי,10,8,8067,0.8738
demo-files-split,104,להם,10,8,8067,0.8738
demo-files-split,105,אחד,10,8,8067,0.8738
demo-files-split,106,מדינה,10,8,8067,0.8738
demo-files-split,107,שהם,10,8,8067,0.8738
demo-files-split,108,יפה,10,8,8067,0.8738
demo-files-split,109,שירים,10,8,8067,0.8738
demo-files-split,110,בסדר,10,8,8067,0.8738
demo-files-split,111,לשערי,10,8,8067,0.8738
demo-files-split,112,רכי,10,8,8067,0.8738
demo-files-split,113,הפה,10,8,8067,0.8738
demo-files-split,114,אמרתי,9,8,8067,0.8738
demo-files-split,115,אומרים,9,8,8067,0.8738
demo-files-split,116,וזה,9,8,8067,0.8738
demo-files-split,117,שלא,9,8,8067,0.8738
demo-files-split,118,לטהות,9,8,8067,0.8738
demo-files-split,119,ארוכה,9,8,8067,0.8738
demo-files-split,120,ענק,9,8,8067,0.8738
demo-files-split,121,שהוא,9,8,8067,0.8738
demo-files-split,122,ועוד,9,8,8067,0.8738
demo-files-split,123,שתיים,9,8,8067,0.8738
demo-files-split,124,והולך,9,8,8067,0.8738
demo-files-split,125,להתראות,8,8,8067,0.8738
demo-files-split,126,הזאת,8,8,8067,0.8738
demo-files-split,127,אדם,8,8,8067,0.8738
demo-files-split,128,שזה,8,8,8067,0.8738
demo-files-split,129,בלי,8,8,8067,0.8738
demo-files-split,130,פעם,8,8,8067,0.8738
demo-files-split,131,זמן,8,8,8067,0.8738
demo-files-split,132,זו,8,8,8067,0.8738
demo-files-split,133,ממסע,8,8,8067,0.8738
demo-files-split,134,רחוקה,8,8,8067,0.8738
demo-files-split,135,בה,8,8,8067,0.8738
demo-files-split,136,תהיה,8,8,8067,0.8738
demo-files-split,137,בלב,8,8,8067,0.8738
demo-files-split,138,מזה,8,8,8067,0.8738
demo-files-split,139,טיילור,8,8,8067,0.8738
demo-files-split,140,העתיד,7,8,8067,0.8738
demo-files-split,141,שלה,7,8,8067,0.8738
demo-files-split,142,יודעים,7,8,8067,0.8738
demo-files-split,143,פשוט,7,8,8067,0.8738
demo-files-split,144,כאילו,7,8,8067,0.8738
demo-files-split,145,להגיד,7,8,8067,0.8738
demo-files-split,146,לומדים,7,8,8067,0.8738
demo-files-split,147,הולך,7,8,8067,0.8738
demo-files-split,148,מלא,7,8,8067,0.8738
demo-files-split,149,ומה,7,8,8067,0.8738
demo-files-split,150,הייתי,7,8,8067,0.8738
demo-files-split,151,והשמש,7,8,8067,0.8738
demo-files-split,152,מעליי,7,8,8067,0.8738
demo-files-split,153,תזרע,7,8,8067,0.8738
demo-files-split,154,אוהבת,7,8,8067,0.8738
demo-files-split,155,ילדים,7,8,8067,0.8738
demo-files-split,156,תראי,7,8,8067,0.8738
demo-files-split,157,שאנחנו,7,8,8067,0.8738
demo-files-split,158,וזאת,7,8,8067,0.8738
demo-files-split,159,יכולים,7,8,8067,0.8738
demo-files-split,160,מעל,7,8,8067,0.8738
demo-files-split,161,מנהינית,7,8,8067,0.8738
demo-files-split,162,לו,7,8,8067,0.8738
demo-files-split,163,ראשון,7,8,8067,0.8738
demo-files-split,164,נשאר,7,8,8067,0.8738
demo-files-split,165,מתי,7,8,8067,0.8738
demo-files-split,166,להתגלגל,7,8,8067,0.8738
demo-files-split,167,איתנו,7,8,8067,0.8738
demo-files-split,168,החטופים,6,8,8067,0.8738
demo-files-split,169,גלגלת,6,8,8067,0.8738
demo-files-split,170,תקווה,6,8,8067,0.8738
demo-files-split,171,יבנה,6,8,8067,0.8738
demo-files-split,172,צריך,6,8,8067,0.8738
demo-files-split,173,העולם,6,8,8067,0.8738
demo-files-split,174,מחושבתכי,6,8,8067,0.8738
demo-files-split,175,נראה,6,8,8067,0.8738
demo-files-split,176,גשר,6,8,8067,0.8738
demo-files-split,177,מאוד,6,8,8067,0.8738
demo-files-split,178,די,6,8,8067,0.8738
demo-files-split,179,הולדת,6,8,8067,0.8738
demo-files-split,180,לראות,6,8,8067,0.8738
demo-files-split,181,שנייה,6,8,8067,0.8738
demo-files-split,182,מתעסק,6,8,8067,0.8738
demo-files-split,183,שהיה,6,8,8067,0.8738
demo-files-split,184,נחרושה,6,8,8067,0.8738
demo-files-split,185,יד,6,8,8067,0.8738
demo-files-split,186,רוצים,6,8,8067,0.8738
demo-files-split,187,אצלך,6,8,8067,0.8738
demo-files-split,188,ואם,6,8,8067,0.8738
demo-files-split,189,מהעבר,6,8,8067,0.8738
demo-files-split,190,בכל,6,8,8067,0.8738
demo-files-split,191,אה,6,8,8067,0.8738
demo-files-split,192,חברים,6,8,8067,0.8738
demo-files-split,193,מילה,6,8,8067,0.8738
demo-files-split,194,פופ,6,8,8067,0.8738
demo-files-split,195,אוויר,6,8,8067,0.8738
demo-files-split,196,אמר,6,8,8067,0.8738
demo-files-split,197,יואב,6,8,8067,0.8738
demo-files-split,198,פרסום,6,8,8067,0.8738
demo-files-split,199,עליך,5,8,8067,0.8738
demo-files-split,200,עושים,5,8,8067,0.8738
demo-files-split,201,ביחד,5,8,8067,0.8738
demo-files-split,202,אותו,5,8,8067,0.8738
demo-files-split,203,הדיווחים,5,8,8067,0.8738
demo-files-split,204,יצחק,5,8,8067,0.8738
demo-files-split,205,המוזיקה,5,8,8067,0.8738
demo-files-split,206,כזה,5,8,8067,0.8738
demo-files-split,207,להיות,5,8,8067,0.8738
demo-files-split,208,קשה,5,8,8067,0.8738
demo-files-split,209,בגן,5,8,8067,0.8738
demo-files-split,210,ושוב,5,8,8067,0.8738
demo-files-split,211,מימדי,5,8,8067,0.8738
demo-files-split,212,קורה,5,8,8067,0.8738
demo-files-split,213,פתאום,5,8,8067,0.8738
demo-files-split,214,וואו,5,8,8067,0.8738
demo-files-split,215,וכל,5,8,8067,0.8738
demo-files-split,216,לב,5,8,8067,0.8738
demo-files-split,217,אומרת,5,8,8067,0.8738
demo-files-split,218,שעות,5,8,8067,0.8738
demo-files-split,219,סתם,5,8,8067,0.8738
demo-files-split,220,לשמרית,5,8,8067,0.8738
demo-files-split,221,תלך,5,8,8067,0.8738
demo-files-split,222,להסתכל,5,8,8067,0.8738
demo-files-split,223,בלבך,5,8,8067,0.8738
demo-files-split,224,חשוב,5,8,8067,0.8738
demo-files-split,225,תודה,5,8,8067,0.8738
demo-files-split,226,שעוד,5,8,8067,0.8738
demo-files-split,227,אחר,5,8,8067,0.8738
demo-files-split,228,לגעת,5,8,8067,0.8738
demo-files-split,229,שיהיו,5,8,8067,0.8738
demo-files-split,230,יאללה,5,8,8067,0.8738
demo-files-split,231,והיא,5,8,8067,0.8738
demo-files-split,232,המון,5,8,8067,0.8738
demo-files-split,233,תלכי,5,8,8067,0.8738
demo-files-split,234,קלה,5,8,8067,0.8738
demo-files-split,235,תביטי,5,8,8067,0.8738
demo-files-split,236,ותראי,5,8,8067,0.8738
demo-files-split,237,תקבעי,5,8,8067,0.8738
demo-files-split,238,מסלולה,5,8,8067,0.8738
demo-files-split,239,תעברי,5,8,8067,0.8738
demo-files-split,240,כולה,5,8,8067,0.8738
demo-files-split,241,אישה,5,8,8067,0.8738
demo-files-split,242,נרגם,5,8,8067,0.8738
demo-files-split,243,רשב,5,8,8067,0.8738
demo-files-split,244,רב,5,8,8067,0.8738
demo-files-split,245,שבא,5,8,8067,0.8738
demo-files-split,246,החגיגה,5,8,8067,0.8738
demo-files-split,247,איתו,5,8,8067,0.8738
demo-files-split,248,מכיר,5,8,8067,0.8738
demo-files-split,249,שאתה,5,8,8067,0.8738
demo-files-split,250,שאתם,5,8,8067,0.8738
demo-files-split,251,זוכר,5,8,8067,0.8738
demo-files-split,252,לשמוע,5,8,8067,0.8738
demo-files-split,253,ויש,5,8,8067,0.8738
demo-files-split,254,אפשר,5,8,8067,0.8738
demo-files-split,255,למטה,5,8,8067,0.8738
demo-files-split,256,גל,5,8,8067,0.8738
demo-files-split,257,שהיית,5,8,8067,0.8738
demo-files-split,258,גבוהה,5,8,8067,0.8738
demo-files-split,259,מחכה,5,8,8067,0.8738
demo-files-split,260,מירה,5,8,8067,0.8738
demo-files-split,261,מצילה,5,8,8067,0.8738
demo-files-split,262,תפוחים,5,8,8067,0.8738
demo-files-split,263,יכולה,5,8,8067,0.8738
demo-files-split,264,מיוחד,5,8,8067,0.8738
demo-files-split,265,המשק,5,8,8067,0.8738
demo-files-split,266,בוחר,5,8,8067,0.8738
demo-files-split,267,פתוח,5,8,8067,0.8738
demo-files-split,268,וואי,5,8,8067,0.8738
demo-files-split,269,אשכח,5,8,8067,0.8738
demo-files-split,270,גלגלעץ,4,8,8067,0.8738
demo-files-split,271,מתגעגע,4,8,8067,0.8738
demo-files-split,272,כדי,4,8,8067,0.8738
demo-files-split,273,אחי,4,8,8067,0.8738
demo-files-split,274,למה,4,8,8067,0.8738
demo-files-split,275,שלום,4,8,8067,0.8738
demo-files-split,276,חדש,4,8,8067,0.8738
demo-files-split,277,בשרות,4,8,8067,0.8738
demo-files-split,278,עורכת,4,8,8067,0.8738
demo-files-split,279,הנבואה,4,8,8067,0.8738
demo-files-split,280,נשמע,4,8,8067,0.8738
demo-files-split,281,בטח,4,8,8067,0.8738
demo-files-split,282,היי,4,8,8067,0.8738
demo-files-split,283,עולם,4,8,8067,0.8738
demo-files-split,284,מאמי,4,8,8067,0.8738
demo-files-split,285,נוגע,4,8,8067,0.8738
demo-files-split,286,הילדים,4,8,8067,0.8738
demo-files-split,287,אנשים,4,8,8067,0.8738
demo-files-split,288,שצריך,4,8,8067,0.8738
demo-files-split,289,בת,4,8,8067,0.8738
demo-files-split,290,כתב,4,8,8067,0.8738
demo-files-split,291,ללכת,4,8,8067,0.8738
demo-files-split,292,שיהיה,4,8,8067,0.8738
demo-files-split,293,מעץ,4,8,8067,0.8738
demo-files-split,294,יושבת,4,8,8067,0.8738
demo-files-split,295,שרה,4,8,8067,0.8738
demo-files-split,296,והושג,4,8,8067,0.8738
demo-files-split,297,ידך,4,8,8067,0.8738
demo-files-split,298,הראשון,4,8,8067,0.8738
demo-files-split,299,שאלה,4,8,8067,0.8738
demo-files-split,300,שנים,4,8,8067,0.8738
demo-files-split,301,הזו,4,8,8067,0.8738
demo-files-split,302,שמואל,4,8,8067,0.8738
demo-files-split,303,לקיבוץ,4,8,8067,0.8738
demo-files-split,304,לעבור,4,8,8067,0.8738
demo-files-split,305,בהשאלה,4,8,8067,0.8738
demo-files-split,306,נצלע,4,8,8067,0.8738
demo-files-split,307,לדרך,4,8,8067,0.8738
demo-files-split,308,וגם,4,8,8067,0.8738
demo-files-split,309,תשכח,4,8,8067,0.8738
demo-files-split,310,הבא,4,8,8067,0.8738
demo-files-split,311,רבה,4,8,8067,0.8738
demo-files-split,312,ועל,4,8,8067,0.8738
demo-files-split,313,אתכם,4,8,8067,0.8738
demo-files-split,314,בבקשה,4,8,8067,0.8738
demo-files-split,315,איתך,4,8,8067,0.8738
demo-files-split,316,אמצא,4,8,8067,0.8738
demo-files-split,317,תשובה,4,8,8067,0.8738
demo-files-split,318,צרות,4,8,8067,0.8738
demo-files-split,319,יודעות,4,8,8067,0.8738
demo-files-split,320,אוקיי,4,8,8067,0.8738
demo-files-split,321,חברות,4,8,8067,0.8738
demo-files-split,322,ולשמש,4,8,8067,0.8738
demo-files-split,323,בעיניי,4,8,8067,0.8738
demo-files-split,324,התשובה,4,8,8067,0.8738
demo-files-split,325,ביום,4,8,8067,0.8738
demo-files-split,326,ראינו,4,8,8067,0.8738
demo-files-split,327,סודה,4,8,8067,0.8738
demo-files-split,328,בואי,4,8,8067,0.8738
demo-files-split,329,רומי,4,8,8067,0.8738
demo-files-split,330,זוהי,4,8,8067,0.8738
demo-files-split,331,כאלה,4,8,8067,0.8738
demo-files-split,332,הימים,4,8,8067,0.8738
demo-files-split,333,נותן,4,8,8067,0.8738
demo-files-split,334,לאור,4,8,8067,0.8738
demo-files-split,335,ירח,4,8,8067,0.8738
demo-files-split,336,קחי,4,8,8067,0.8738
demo-files-split,337,עמתי,4,8,8067,0.8738
demo-files-split,338,יומד,4,8,8067,0.8738
demo-files-split,339,שווה,4,8,8067,0.8738
demo-files-split,340,דרכיהם,4,8,8067,0.8738
demo-files-split,341,שמתרוצץ,4,8,8067,0.8738
