subfolder,rank,word,count,total_files,total_words,estimated_cost
demo-files-split,1,לא,205,8,8067,0.8738
demo-files-split,2,לי,68,8,8067,0.8738
demo-files-split,3,עוד,67,8,8067,0.8738
demo-files-split,4,יש,62,8,8067,0.8738
demo-files-split,5,מה,59,8,8067,0.8738
demo-files-split,6,לך,57,8,8067,0.8738
demo-files-split,7,שלי,49,8,8067,0.8738
demo-files-split,8,חיי,47,8,8067,0.8738
demo-files-split,9,באמת,43,8,8067,0.8738
demo-files-split,10,מי,43,8,8067,0.8738
demo-files-split,11,אז,43,8,8067,0.8738
demo-files-split,12,רוצה,41,8,8067,0.8738
demo-files-split,13,כבר,38,8,8067,0.8738
demo-files-split,14,אין,38,8,8067,0.8738
demo-files-split,15,חבר,35,8,8067,0.8738
demo-files-split,16,עכשיו,35,8,8067,0.8738
demo-files-split,17,הדרך,33,8,8067,0.8738
demo-files-split,18,טוב,30,8,8067,0.8738
demo-files-split,19,פה,30,8,8067,0.8738
demo-files-split,20,לה,30,8,8067,0.8738
demo-files-split,21,איך,28,8,8067,0.8738
demo-files-split,22,אולי,27,8,8067,0.8738
demo-files-split,23,אותך,26,8,8067,0.8738
demo-files-split,24,לנו,26,8,8067,0.8738
demo-files-split,25,הביתה,25,8,8067,0.8738
demo-files-split,26,כן,25,8,8067,0.8738
demo-files-split,27,שיר,25,8,8067,0.8738
demo-files-split,28,הללויה,25,8,8067,0.8738
demo-files-split,29,היה,25,8,8067,0.8738
demo-files-split,30,חוזר,25,8,8067,0.8738
demo-files-split,31,אמת,25,8,8067,0.8738
demo-files-split,32,השיר,24,8,8067,0.8738
demo-files-split,33,אליי,24,8,8067,0.8738
demo-files-split,34,תמיד,23,8,8067,0.8738
demo-files-split,35,הזה,23,8,8067,0.8738
demo-files-split,36,היום,22,8,8067,0.8738
demo-files-split,37,שוב,21,8,8067,0.8738
demo-files-split,38,קצת,21,8,8067,0.8738
demo-files-split,39,בדרך,21,8,8067,0.8738
demo-files-split,40,ואז,21,8,8067,0.8738
demo-files-split,41,חובה,21,8,8067,0.8738
demo-files-split,42,איזה,20,8,8067,0.8738
demo-files-split,43,ולנטינו,20,8,8067,0.8738
demo-files-split,44,יום,19,8,8067,0.8738
demo-files-split,45,הכי,19,8,8067,0.8738
demo-files-split,46,הזמן,19,8,8067,0.8738
demo-files-split,47,שמש,18,8,8067,0.8738
demo-files-split,48,הכל,17,8,8067,0.8738
demo-files-split,49,אגיד,17,8,8067,0.8738
demo-files-split,50,משהו,17,8,8067,0.8738
demo-files-split,51,בין,17,8,8067,0.8738
demo-files-split,52,אצלנו,17,8,8067,0.8738
demo-files-split,53,אהוב,16,8,8067,0.8738
demo-files-split,54,כולם,16,8,8067,0.8738
demo-files-split,55,שם,16,8,8067,0.8738
demo-files-split,56,אור,16,8,8067,0.8738
demo-files-split,57,להצליח,15,8,8067,0.8738
demo-files-split,58,בכך,15,8,8067,0.8738
demo-files-split,59,לכם,15,8,8067,0.8738
demo-files-split,60,טובות,15,8,8067,0.8738
demo-files-split,61,יודעת,15,8,8067,0.8738
demo-files-split,62,נכון,15,8,8067,0.8738
demo-files-split,63,יודע,14,8,8067,0.8738
demo-files-split,64,הלב,14,8,8067,0.8738
demo-files-split,65,שלו,14,8,8067,0.8738
demo-files-split,66,בדיוק,14,8,8067,0.8738
demo-files-split,67,שלך,13,8,8067,0.8738
demo-files-split,68,גלגלץ,13,8,8067,0.8738
demo-files-split,69,הייתה,13,8,8067,0.8738
demo-files-split,70,כתבה,13,8,8067,0.8738
demo-files-split,71,בא,13,8,8067,0.8738
demo-files-split,72,ודאי,13,8,8067,0.8738
demo-files-split,73,ולא,13,8,8067,0.8738
demo-files-split,74,חי,13,8,8067,0.8738
demo-files-split,75,אותי,12,8,8067,0.8738
demo-files-split,76,יהיה,12,8,8067,0.8738
demo-files-split,77,עליי,12,8,8067,0.8738
demo-files-split,78,ואני,12,8,8067,0.8738
demo-files-split,79,אותה,12,8,8067,0.8738
demo-files-split,80,ראיתי,12,8,8067,0.8738
demo-files-split,81,אומר,12,8,8067,0.8738
demo-files-split,82,תן,12,8,8067,0.8738
demo-files-split,83,שמרית,12,8,8067,0.8738
demo-files-split,84,בוא,12,8,8067,0.8738
demo-files-split,85,והוא,12,8,8067,0.8738
demo-files-split,86,נה,12,8,8067,0.8738
demo-files-split,87,חוזרים,11,8,8067,0.8738
demo-files-split,88,ואנחנו,11,8,8067,0.8738
demo-files-split,89,כמה,11,8,8067,0.8738
demo-files-split,90,שיש,11,8,8067,0.8738
demo-files-split,91,יכול,11,8,8067,0.8738
demo-files-split,92,ממש,11,8,8067,0.8738
demo-files-split,93,רגע,11,8,8067,0.8738
demo-files-split,94,דרך,11,8,8067,0.8738
demo-files-split,95,להגיע,11,8,8067,0.8738
demo-files-split,96,דנה,11,8,8067,0.8738
demo-files-split,97,הלאה,11,8,8067,0.8738
demo-files-split,98,שאני,10,8,8067,0.8738
demo-files-split,99,בן,10,8,8067,0.8738
demo-files-split,100,אוהב,10,8,8067,0.8738
