subfolder,rank,word,count,russian_translation,total_files,total_words,estimated_cost
demo-files-radio-split,1,לא,1288,,56,53106,6.2075
demo-files-radio-split,2,לי,623,,56,53106,6.2075
demo-files-radio-split,3,מה,488,,56,53106,6.2075
demo-files-radio-split,4,יש,359,,56,53106,6.2075
demo-files-radio-split,5,אז,304,,56,53106,6.2075
demo-files-radio-split,6,לך,288,,56,53106,6.2075
demo-files-radio-split,7,עוד,277,,56,53106,6.2075
demo-files-radio-split,8,טוב,235,,56,53106,6.2075
demo-files-radio-split,9,רוצה,220,,56,53106,6.2075
demo-files-radio-split,10,כן,189,,56,53106,6.2075
demo-files-radio-split,11,כבר,187,,56,53106,6.2075
demo-files-radio-split,12,עכשיו,169,,56,53106,6.2075
demo-files-radio-split,13,אין,168,,56,53106,6.2075
demo-files-radio-split,14,היה,162,,56,53106,6.2075
demo-files-radio-split,15,שלי,160,,56,53106,6.2075
demo-files-radio-split,16,מי,159,,56,53106,6.2075
demo-files-radio-split,17,אותי,152,,56,53106,6.2075
demo-files-radio-split,18,שם,147,,56,53106,6.2075
demo-files-radio-split,19,יודע,142,,56,53106,6.2075
demo-files-radio-split,20,שוב,139,,56,53106,6.2075
demo-files-radio-split,21,תמיד,139,,56,53106,6.2075
demo-files-radio-split,22,תודה,134,,56,53106,6.2075
demo-files-radio-split,23,לנו,133,,56,53106,6.2075
demo-files-radio-split,24,יודעת,128,,56,53106,6.2075
demo-files-radio-split,25,איך,126,,56,53106,6.2075
demo-files-radio-split,26,פה,125,,56,53106,6.2075
demo-files-radio-split,27,שאני,121,,56,53106,6.2075
demo-files-radio-split,28,איזה,120,,56,53106,6.2075
demo-files-radio-split,29,הכל,119,,56,53106,6.2075
demo-files-radio-split,30,הזה,119,,56,53106,6.2075
demo-files-radio-split,31,מאוד,119,,56,53106,6.2075
demo-files-radio-split,32,דקות,118,,56,53106,6.2075
demo-files-radio-split,33,באמת,115,,56,53106,6.2075
demo-files-radio-split,34,ואני,114,,56,53106,6.2075
demo-files-radio-split,35,שלום,113,,56,53106,6.2075
demo-files-radio-split,36,לה,112,,56,53106,6.2075
demo-files-radio-split,37,יום,111,,56,53106,6.2075
demo-files-radio-split,38,אותך,111,,56,53106,6.2075
demo-files-radio-split,39,הולך,105,,56,53106,6.2075
demo-files-radio-split,40,וזה,104,,56,53106,6.2075
demo-files-radio-split,41,פעם,103,,56,53106,6.2075
demo-files-radio-split,42,היום,102,,56,53106,6.2075
demo-files-radio-split,43,אחד,101,,56,53106,6.2075
demo-files-radio-split,44,וואו,99,,56,53106,6.2075
demo-files-radio-split,45,שיר,97,,56,53106,6.2075
demo-files-radio-split,46,למה,97,,56,53106,6.2075
demo-files-radio-split,47,אה,96,,56,53106,6.2075
demo-files-radio-split,48,נכון,92,,56,53106,6.2075
demo-files-radio-split,49,משהו,92,,56,53106,6.2075
demo-files-radio-split,50,יהיה,90,,56,53106,6.2075
demo-files-radio-split,51,לכם,89,,56,53106,6.2075
demo-files-radio-split,52,ואז,89,,56,53106,6.2075
demo-files-radio-split,53,אומר,87,,56,53106,6.2075
demo-files-radio-split,54,אותו,82,,56,53106,6.2075
demo-files-radio-split,55,שלך,82,,56,53106,6.2075
demo-files-radio-split,56,בלי,82,,56,53106,6.2075
demo-files-radio-split,57,אולי,82,,56,53106,6.2075
demo-files-radio-split,58,שאתה,82,,56,53106,6.2075
demo-files-radio-split,59,יכול,81,,56,53106,6.2075
demo-files-radio-split,60,הייתי,81,,56,53106,6.2075
demo-files-radio-split,61,שלנו,80,,56,53106,6.2075
demo-files-radio-split,62,שלא,80,,56,53106,6.2075
demo-files-radio-split,63,יפה,78,,56,53106,6.2075
demo-files-radio-split,64,להיות,77,,56,53106,6.2075
demo-files-radio-split,65,גולדן,77,,56,53106,6.2075
demo-files-radio-split,66,לו,76,,56,53106,6.2075
demo-files-radio-split,67,בא,76,,56,53106,6.2075
demo-files-radio-split,68,בדרך,74,,56,53106,6.2075
demo-files-radio-split,69,כולם,73,,56,53106,6.2075
demo-files-radio-split,70,כאילו,72,,56,53106,6.2075
demo-files-radio-split,71,חיי,70,,56,53106,6.2075
demo-files-radio-split,72,שזה,69,,56,53106,6.2075
demo-files-radio-split,73,לב,69,,56,53106,6.2075
demo-files-radio-split,74,פארק,69,,56,53106,6.2075
demo-files-radio-split,75,אוהב,68,,56,53106,6.2075
demo-files-radio-split,76,כזה,68,,56,53106,6.2075
demo-files-radio-split,77,קצת,68,,56,53106,6.2075
demo-files-radio-split,78,לילה,68,,56,53106,6.2075
demo-files-radio-split,79,הביתה,67,,56,53106,6.2075
demo-files-radio-split,80,רבה,67,,56,53106,6.2075
demo-files-radio-split,81,עושה,65,,56,53106,6.2075
demo-files-radio-split,82,הכי,63,,56,53106,6.2075
demo-files-radio-split,83,מוזיקה,63,,56,53106,6.2075
demo-files-radio-split,84,שהוא,62,,56,53106,6.2075
demo-files-radio-split,85,הדרך,62,,56,53106,6.2075
demo-files-radio-split,86,בכל,62,,56,53106,6.2075
demo-files-radio-split,87,קרקלאס,62,,56,53106,6.2075
demo-files-radio-split,88,כאן,61,,56,53106,6.2075
demo-files-radio-split,89,פשוט,60,,56,53106,6.2075
demo-files-radio-split,90,בטח,59,,56,53106,6.2075
demo-files-radio-split,91,טובות,58,,56,53106,6.2075
demo-files-radio-split,92,בן,58,,56,53106,6.2075
demo-files-radio-split,93,השיר,58,,56,53106,6.2075
demo-files-radio-split,94,בדיוק,58,,56,53106,6.2075
demo-files-radio-split,95,שלו,58,,56,53106,6.2075
demo-files-radio-split,96,אותה,58,,56,53106,6.2075
demo-files-radio-split,97,טובה,56,,56,53106,6.2075
demo-files-radio-split,98,אחר,56,,56,53106,6.2075
demo-files-radio-split,99,חוזר,56,,56,53106,6.2075
demo-files-radio-split,100,תאמר,56,,56,53106,6.2075
demo-files-radio-split,101,הלב,55,,56,53106,6.2075
demo-files-radio-split,102,אדם,55,,56,53106,6.2075
demo-files-radio-split,103,הזמן,55,,56,53106,6.2075
demo-files-radio-split,104,בוא,55,,56,53106,6.2075
demo-files-radio-split,105,גוני,55,,56,53106,6.2075
demo-files-radio-split,106,וגם,54,,56,53106,6.2075
demo-files-radio-split,107,עמוס,54,,56,53106,6.2075
demo-files-radio-split,108,ואת,54,,56,53106,6.2075
demo-files-radio-split,109,צריך,53,,56,53106,6.2075
demo-files-radio-split,110,כמה,52,,56,53106,6.2075
demo-files-radio-split,111,להגיד,52,,56,53106,6.2075
demo-files-radio-split,112,אנשים,52,,56,53106,6.2075
demo-files-radio-split,113,אליי,52,,56,53106,6.2075
demo-files-radio-split,114,שאת,52,,56,53106,6.2075
demo-files-radio-split,115,ולא,51,,56,53106,6.2075
demo-files-radio-split,116,תהיה,51,,56,53106,6.2075
demo-files-radio-split,117,שאתם,51,,56,53106,6.2075
demo-files-radio-split,118,אומרת,50,,56,53106,6.2075
demo-files-radio-split,119,בני,49,,56,53106,6.2075
demo-files-radio-split,120,ממש,49,,56,53106,6.2075
demo-files-radio-split,121,מחר,49,,56,53106,6.2075
demo-files-radio-split,122,תלך,48,,56,53106,6.2075
demo-files-radio-split,123,גלגלת,48,,56,53106,6.2075
demo-files-radio-split,124,שיש,48,,56,53106,6.2075
demo-files-radio-split,125,מדינה,47,,56,53106,6.2075
demo-files-radio-split,126,הללויה,47,,56,53106,6.2075
demo-files-radio-split,127,המון,47,,56,53106,6.2075
demo-files-radio-split,128,דרך,47,,56,53106,6.2075
demo-files-radio-split,129,אהבה,47,,56,53106,6.2075
demo-files-radio-split,130,הנה,47,,56,53106,6.2075
demo-files-radio-split,131,לבד,47,,56,53106,6.2075
demo-files-radio-split,132,אמרתי,46,,56,53106,6.2075
demo-files-radio-split,133,בואי,46,,56,53106,6.2075
demo-files-radio-split,134,עליי,46,,56,53106,6.2075
demo-files-radio-split,135,אצלנו,46,,56,53106,6.2075
demo-files-radio-split,136,כשזה,46,,56,53106,6.2075
demo-files-radio-split,137,חדש,45,,56,53106,6.2075
demo-files-radio-split,138,הייתה,45,,56,53106,6.2075
demo-files-radio-split,139,עדיין,45,,56,53106,6.2075
demo-files-radio-split,140,בגלל,45,,56,53106,6.2075
demo-files-radio-split,141,והוא,45,,56,53106,6.2075
demo-files-radio-split,142,אתכם,45,,56,53106,6.2075
demo-files-radio-split,143,איתך,45,,56,53106,6.2075
demo-files-radio-split,144,שהם,44,,56,53106,6.2075
demo-files-radio-split,145,בין,44,,56,53106,6.2075
demo-files-radio-split,146,קשה,44,,56,53106,6.2075
demo-files-radio-split,147,רגע,43,,56,53106,6.2075
demo-files-radio-split,148,אביב,43,,56,53106,6.2075
demo-files-radio-split,149,ואם,43,,56,53106,6.2075
demo-files-radio-split,150,מזה,43,,56,53106,6.2075
demo-files-radio-split,151,נחתה,43,,56,53106,6.2075
demo-files-radio-split,152,לבוא,42,,56,53106,6.2075
demo-files-radio-split,153,מגיע,42,,56,53106,6.2075
demo-files-radio-split,154,לזה,41,,56,53106,6.2075
demo-files-radio-split,155,קדימה,41,,56,53106,6.2075
demo-files-radio-split,156,ביחד,40,,56,53106,6.2075
demo-files-radio-split,157,אומרים,40,,56,53106,6.2075
demo-files-radio-split,158,להם,40,,56,53106,6.2075
demo-files-radio-split,159,בי,40,,56,53106,6.2075
demo-files-radio-split,160,זמן,40,,56,53106,6.2075
demo-files-radio-split,161,בסדר,40,,56,53106,6.2075
demo-files-radio-split,162,תגיד,40,,56,53106,6.2075
demo-files-radio-split,163,אף,40,,56,53106,6.2075
demo-files-radio-split,164,גלגלץ,39,,56,53106,6.2075
demo-files-radio-split,165,מלא,39,,56,53106,6.2075
demo-files-radio-split,166,אפשר,39,,56,53106,6.2075
demo-files-radio-split,167,ימים,38,,56,53106,6.2075
demo-files-radio-split,168,איפה,38,,56,53106,6.2075
demo-files-radio-split,169,אור,38,,56,53106,6.2075
demo-files-radio-split,170,רואה,38,,56,53106,6.2075
demo-files-radio-split,171,קראו,38,,56,53106,6.2075
demo-files-radio-split,172,שעה,37,,56,53106,6.2075
demo-files-radio-split,173,פרק,37,,56,53106,6.2075
demo-files-radio-split,174,חי,36,,56,53106,6.2075
demo-files-radio-split,175,לראות,36,,56,53106,6.2075
demo-files-radio-split,176,שאנחנו,36,,56,53106,6.2075
demo-files-radio-split,177,ועד,36,,56,53106,6.2075
demo-files-radio-split,178,וואי,36,,56,53106,6.2075
demo-files-radio-split,179,קרה,35,,56,53106,6.2075
demo-files-radio-split,180,קורה,35,,56,53106,6.2075
demo-files-radio-split,181,אחת,35,,56,53106,6.2075
demo-files-radio-split,182,נגמר,35,,56,53106,6.2075
demo-files-radio-split,183,נראה,34,,56,53106,6.2075
demo-files-radio-split,184,שימו,34,,56,53106,6.2075
demo-files-radio-split,185,שנה,34,,56,53106,6.2075
demo-files-radio-split,186,השלום,34,,56,53106,6.2075
demo-files-radio-split,187,שישי,34,,56,53106,6.2075
demo-files-radio-split,188,איתי,34,,56,53106,6.2075
demo-files-radio-split,189,כדי,33,,56,53106,6.2075
demo-files-radio-split,190,די,33,,56,53106,6.2075
demo-files-radio-split,191,אבא,33,,56,53106,6.2075
demo-files-radio-split,192,לכל,33,,56,53106,6.2075
demo-files-radio-split,193,ביום,33,,56,53106,6.2075
demo-files-radio-split,194,היי,33,,56,53106,6.2075
demo-files-radio-split,195,דה,33,,56,53106,6.2075
demo-files-radio-split,196,הזאת,32,,56,53106,6.2075
demo-files-radio-split,197,זהו,32,,56,53106,6.2075
demo-files-radio-split,198,יאללה,32,,56,53106,6.2075
demo-files-radio-split,199,ועוד,32,,56,53106,6.2075
demo-files-radio-split,200,יכולה,32,,56,53106,6.2075
demo-files-radio-split,201,אוכל,32,,56,53106,6.2075
demo-files-radio-split,202,ומה,31,,56,53106,6.2075
demo-files-radio-split,203,הלילה,31,,56,53106,6.2075
demo-files-radio-split,204,תראה,31,,56,53106,6.2075
demo-files-radio-split,205,נשאר,31,,56,53106,6.2075
demo-files-radio-split,206,איתנו,31,,56,53106,6.2075
demo-files-radio-split,207,מול,31,,56,53106,6.2075
demo-files-radio-split,208,מישהו,31,,56,53106,6.2075
demo-files-radio-split,209,תסתכל,31,,56,53106,6.2075
demo-files-radio-split,210,המוזיקה,30,,56,53106,6.2075
demo-files-radio-split,211,שיהיה,30,,56,53106,6.2075
demo-files-radio-split,212,ויש,30,,56,53106,6.2075
demo-files-radio-split,213,שנים,30,,56,53106,6.2075
demo-files-radio-split,214,חושב,30,,56,53106,6.2075
demo-files-radio-split,215,דברים,30,,56,53106,6.2075
demo-files-radio-split,216,לפעמים,30,,56,53106,6.2075
demo-files-radio-split,217,אמא,30,,56,53106,6.2075
demo-files-radio-split,218,אותם,30,,56,53106,6.2075
demo-files-radio-split,219,יודעים,29,,56,53106,6.2075
demo-files-radio-split,220,שהיא,29,,56,53106,6.2075
demo-files-radio-split,221,תן,29,,56,53106,6.2075
demo-files-radio-split,222,שמואל,29,,56,53106,6.2075
demo-files-radio-split,223,יד,29,,56,53106,6.2075
demo-files-radio-split,224,אוקיי,29,,56,53106,6.2075
demo-files-radio-split,225,לדרום,29,,56,53106,6.2075
demo-files-radio-split,226,ראשון,29,,56,53106,6.2075
demo-files-radio-split,227,מדהים,29,,56,53106,6.2075
demo-files-radio-split,228,עליך,28,,56,53106,6.2075
demo-files-radio-split,229,יבוא,28,,56,53106,6.2075
demo-files-radio-split,230,לדעת,28,,56,53106,6.2075
demo-files-radio-split,231,מחכה,28,,56,53106,6.2075
demo-files-radio-split,232,לנסוע,28,,56,53106,6.2075
demo-files-radio-split,233,מקום,28,,56,53106,6.2075
