subfolder,rank,word,count,russian_translation,total_files,total_words,estimated_cost
demo-files-tech-meetings-split,1,לא,1003,,14,37412,2.2944
demo-files-tech-meetings-split,2,אז,605,,14,37412,2.2944
demo-files-tech-meetings-split,3,אוקיי,523,,14,37412,2.2944
demo-files-tech-meetings-split,4,יש,498,,14,37412,2.2944
demo-files-tech-meetings-split,5,כן,431,,14,37412,2.2944
demo-files-tech-meetings-split,6,מה,360,,14,37412,2.2944
demo-files-tech-meetings-split,7,לי,251,,14,37412,2.2944
demo-files-tech-meetings-split,8,עכשיו,248,,14,37412,2.2944
demo-files-tech-meetings-split,9,פה,211,,14,37412,2.2944
demo-files-tech-meetings-split,10,כאילו,191,,14,37412,2.2944
demo-files-tech-meetings-split,11,הזה,189,,14,37412,2.2944
demo-files-tech-meetings-split,12,שם,188,,14,37412,2.2944
demo-files-tech-meetings-split,13,יכול,180,,14,37412,2.2944
demo-files-tech-meetings-split,14,אותו,175,,14,37412,2.2944
demo-files-tech-meetings-split,15,צריך,160,,14,37412,2.2944
demo-files-tech-meetings-split,16,איזה,158,,14,37412,2.2944
demo-files-tech-meetings-split,17,לנו,156,,14,37412,2.2944
demo-files-tech-meetings-split,18,לעשות,154,,14,37412,2.2944
demo-files-tech-meetings-split,19,שזה,153,,14,37412,2.2944
demo-files-tech-meetings-split,20,משהו,140,,14,37412,2.2944
demo-files-tech-meetings-split,21,בסדר,135,,14,37412,2.2944
demo-files-tech-meetings-split,22,עוד,132,,14,37412,2.2944
demo-files-tech-meetings-split,23,שאני,132,,14,37412,2.2944
demo-files-tech-meetings-split,24,שהוא,125,,14,37412,2.2944
demo-files-tech-meetings-split,25,יודע,120,,14,37412,2.2944
demo-files-tech-meetings-split,26,נכון,119,,14,37412,2.2944
demo-files-tech-meetings-split,27,טוב,117,,14,37412,2.2944
demo-files-tech-meetings-split,28,בעצם,114,,14,37412,2.2944
demo-files-tech-meetings-split,29,שלנו,113,,14,37412,2.2944
demo-files-tech-meetings-split,30,לך,111,,14,37412,2.2944
demo-files-tech-meetings-split,31,רוצה,109,,14,37412,2.2944
demo-files-tech-meetings-split,32,נראה,107,,14,37412,2.2944
demo-files-tech-meetings-split,33,לו,105,,14,37412,2.2944
demo-files-tech-meetings-split,34,ואז,105,,14,37412,2.2944
demo-files-tech-meetings-split,35,אין,103,,14,37412,2.2944
demo-files-tech-meetings-split,36,אומר,100,,14,37412,2.2944
demo-files-tech-meetings-split,37,שאנחנו,99,,14,37412,2.2944
demo-files-tech-meetings-split,38,עושה,99,,14,37412,2.2944
demo-files-tech-meetings-split,39,אה,91,,14,37412,2.2944
demo-files-tech-meetings-split,40,כבר,91,,14,37412,2.2944
demo-files-tech-meetings-split,41,הנה,90,,14,37412,2.2944
demo-files-tech-meetings-split,42,דבר,89,,14,37412,2.2944
demo-files-tech-meetings-split,43,למה,87,,14,37412,2.2944
demo-files-tech-meetings-split,44,אפשר,86,,14,37412,2.2944
demo-files-tech-meetings-split,45,להיות,85,,14,37412,2.2944
demo-files-tech-meetings-split,46,איך,83,,14,37412,2.2944
demo-files-tech-meetings-split,47,עובד,81,,14,37412,2.2944
demo-files-tech-meetings-split,48,שיש,80,,14,37412,2.2944
demo-files-tech-meetings-split,49,היה,80,,14,37412,2.2944
demo-files-tech-meetings-split,50,אחד,80,,14,37412,2.2944
demo-files-tech-meetings-split,51,כדי,79,,14,37412,2.2944
demo-files-tech-meetings-split,52,פעם,79,,14,37412,2.2944
demo-files-tech-meetings-split,53,כזה,78,,14,37412,2.2944
demo-files-tech-meetings-split,54,בוא,76,,14,37412,2.2944
demo-files-tech-meetings-split,55,רואים,75,,14,37412,2.2944
demo-files-tech-meetings-split,56,אומרת,73,,14,37412,2.2944
demo-files-tech-meetings-split,57,לראות,72,,14,37412,2.2944
demo-files-tech-meetings-split,58,שאתה,71,,14,37412,2.2944
demo-files-tech-meetings-split,59,מול,71,,14,37412,2.2944
demo-files-tech-meetings-split,60,פשוט,70,,14,37412,2.2944
demo-files-tech-meetings-split,61,דברים,67,,14,37412,2.2944
demo-files-tech-meetings-split,62,כמה,66,,14,37412,2.2944
demo-files-tech-meetings-split,63,רואה,65,,14,37412,2.2944
demo-files-tech-meetings-split,64,צריכים,64,,14,37412,2.2944
demo-files-tech-meetings-split,65,מיני,64,,14,37412,2.2944
demo-files-tech-meetings-split,66,באמת,64,,14,37412,2.2944
demo-files-tech-meetings-split,67,בדיוק,63,,14,37412,2.2944
demo-files-tech-meetings-split,68,יהיה,61,,14,37412,2.2944
demo-files-tech-meetings-split,69,אחר,58,,14,37412,2.2944
demo-files-tech-meetings-split,70,הכל,58,,14,37412,2.2944
demo-files-tech-meetings-split,71,חושב,57,,14,37412,2.2944
demo-files-tech-meetings-split,72,אולי,56,,14,37412,2.2944
demo-files-tech-meetings-split,73,וגם,56,,14,37412,2.2944
demo-files-tech-meetings-split,74,כרגע,55,,14,37412,2.2944
demo-files-tech-meetings-split,75,אותם,55,,14,37412,2.2944
demo-files-tech-meetings-split,76,איפה,55,,14,37412,2.2944
demo-files-tech-meetings-split,77,עושים,54,,14,37412,2.2944
demo-files-tech-meetings-split,78,בכל,54,,14,37412,2.2944
demo-files-tech-meetings-split,79,שלא,53,,14,37412,2.2944
demo-files-tech-meetings-split,80,וזה,53,,14,37412,2.2944
demo-files-tech-meetings-split,81,לזה,52,,14,37412,2.2944
demo-files-tech-meetings-split,82,מאוד,52,,14,37412,2.2944
demo-files-tech-meetings-split,83,אורגניזיישן,52,,14,37412,2.2944
demo-files-tech-meetings-split,84,מי,50,,14,37412,2.2944
demo-files-tech-meetings-split,85,בואו,50,,14,37412,2.2944
demo-files-tech-meetings-split,86,רוצים,49,,14,37412,2.2944
demo-files-tech-meetings-split,87,קצת,49,,14,37412,2.2944
demo-files-tech-meetings-split,88,עשיתי,49,,14,37412,2.2944
demo-files-tech-meetings-split,89,היום,48,,14,37412,2.2944
demo-files-tech-meetings-split,90,מישהו,48,,14,37412,2.2944
demo-files-tech-meetings-split,91,בגלל,48,,14,37412,2.2944
demo-files-tech-meetings-split,92,לעבוד,47,,14,37412,2.2944
demo-files-tech-meetings-split,93,סרוויס,43,,14,37412,2.2944
demo-files-tech-meetings-split,94,שהם,42,,14,37412,2.2944
demo-files-tech-meetings-split,95,נעשה,42,,14,37412,2.2944
demo-files-tech-meetings-split,96,שלי,41,,14,37412,2.2944
demo-files-tech-meetings-split,97,ממש,41,,14,37412,2.2944
demo-files-tech-meetings-split,98,בעיה,41,,14,37412,2.2944
demo-files-tech-meetings-split,99,שנייה,41,,14,37412,2.2944
demo-files-tech-meetings-split,100,לכם,41,,14,37412,2.2944
demo-files-tech-meetings-split,101,דרך,40,,14,37412,2.2944
demo-files-tech-meetings-split,102,יכולים,40,,14,37412,2.2944
demo-files-tech-meetings-split,103,זהו,39,,14,37412,2.2944
demo-files-tech-meetings-split,104,שלו,39,,14,37412,2.2944
demo-files-tech-meetings-split,105,בא,39,,14,37412,2.2944
demo-files-tech-meetings-split,106,סבבה,39,,14,37412,2.2944
demo-files-tech-meetings-split,107,עדיין,38,,14,37412,2.2944
